"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19640828","US","SHFT","l20","37.030N","116.030W","HADDOCK"
"19640904","US","SHFT","l20","36.970N","116.050W","GUANAY"
"19640911","US","SHFT","l20","","","SPOON"
"19640918","CP","UNDG","","73.200N","054.400E",""
"19640925","US","SHFT","l20","","JOINT","COURSER"
"19641002","US","SHFT","l20","37.070N","116.010W","AUK"
"19641009","US","SHFT","38","37.070N","116.130W","PAR"
"19641016","TU","ONE","","","126 NTS0",""
"19641016","US","SS1","l20","37.030N","115.970W","TURNSTON"
"19641016","TU","ONE","","","259 NTS0",""
"19641016","US","SS2","l20","37.030N","115.970W","BARBEL"
"19641016","PC","TOWR","20","","",""
"19641016","#HO","","","","070 NTS0",""
"19641016","US","SS1","l20","","","HOOPOE"
"19641022","US","SHFT","5.3","31.280N","089.440W","SALMON"
"19641023","US","SHFT","l20","","","GARDEN"
"19641025","CP","UNDG","48","73.390N","053.900E",""
"19641031","US","SHFT","l20","37.080N","116.080W","FOREST"
"19641105","US","SHFT","12","37.110N","116.120W","HANDCAR"
"19641116","CP","UNDG","88","49.800N","078.170E",""
"19641128","FR","TUNN","l20","24.042N","005.042E","TURQUOI"
"19641205","US","SHFT","20-200","37.080N","116.110W","CREPE"
"19641205","DR","(SOUR",")*","","190 NTS0",""
"19641205","US","SS1","3.4","","","DRILL-S"
"19641205","DR","(TARG",")","","220 NTS0",""
"19641205","US","SS2","l20","","","DRILL-T"
"19641216","US","SHFT","l20","","","CASSOWAR"
"19641216","US","SHFT","1.3","37.020N","116.004W","PARROT"
"19641216","US","SHFT","2.7","37.001N","115.801W","MUDPACK"
"19641218","US","SHFT","0.092","37.045N","116.203W","SULKY"
"19641223","US","SH?","","","","**"
"19650114","US","SHFT","l20","37.07N","116.04W","WOOL"
"19650116","CP","UNDG","00-150","49.935N","079.009E",""
"19650129","US","SHFT","l20","","","TERN"
"19650204","US","SHFT","l20","37.08N","116.10W","CASHMERE"
"19650212","US","SHFT","l20","","","ALPACA"
"19650216","US","SHFT","10.1","36.99N","116.00W","MERLIN"
"19650218","US","SHFT","l20","36.72N","115.94W","WISHBONE"
"19650219","US","SHFT","l20","","","SEERSUCK"
"19650227","FR","TUNN","117","24.059N","005.031E","SAPHIR"
"19650303","US","SHFT","20-200","37.01N","116.08W","WAGTAIL"
"19650303","CP","UNDG","l20","49.824N","078.052E",""
"19650320","US","SHFT","l20","","","SUEDE"
"19650326","US","SHFT","20-200","37.11N","116.09W","CUP"
"19650405","US","SHFT","l20","36.95N","116.08W","KESTREL"
"19650414","US","CRAT","4.3","37.26N","116.54W","PALANQUI"
"19650421","US","TUNN","l20","36.97N","116.23W","GUM DROP"
"19650422","US","SHFT","l20","","","CHENILLE"
"19650423","US","SHFT","l20","37.017N","115.995","MUSCOVY"
"19650507","US","SHFT","l20","37.14N","116.10W","TEE"
"19650511","CP","UNDG","l20","49.770N","077.994E",""
"19650512","US","SHFT","l20","37.2N","116.5W","BUTEO"
"19650514","US","SHFT","l20","37.07N","116.05W","SCAUP"
"19650514","US","SHFT","0.75","36.84N","116.07W","CAMBRIC"
"19650514","PC","AIRD","20-40","","",""
"19650521","US","SHFT","l20","37.07N","116.04W","TWEED"
"19650530","FR","TUNN","l20","24.055N","005.051E","JADE"
"19650611","US","SHFT","1.3","37.00N","116.05W","PETREL"
"19650611","US","SHFT","l20","","","ORGANDY"
"19650616","US","SHFT","l20","36.83N","116.06W","DILUTEDW"
"19650617","US","TUNN","l20","","","TINY TOT"
"19650617","CP","UNDG","l20","49.828N","078.066E",""
"19650716","US","SHFT","l20","","","IZZER"
"19650722","US","SHFT","l20","","","PONGEE"
"19650723","US","SHFT","20-200","37.06N","116.03W","BRONZE"
"19650729","CP","UNDG","l20","49.779N","077.998E",""
"19650806","US","SHFT","l20","37.02N","116.11W","MAUVE"
"19650821","US","SHFT","l20","","","TICKING"
"19650827","US","SHFT","l20","37.08N","116.04W","CENTAUR"
"19650901","#MO","","","","194 NTS0",""
"19650901","US","SS1","l20","36.99N","115.95W","MOA"
"19650901","#SC","ER*","","","302 NTS0",""
"19650901","US","SS2","l20","36.99N","115.95W","SCREAMER"
"19650910","GB","SHFT","20-200","36.98N","115.99W","CHARCOAL"
"19650917","CP","UNDG","l20","49.811N","078.146E",""
"19650917","US","SHFT","l20","37.06N","116.02W","ELKHART"
"19651001","FR","TUNN","l20","24.065N","005.034E","CORINDN"
"19651008","CP","UNDG","l20","49.825N","078.111E",""
"19651029","US","SHFT","80","51.61N","179.22E","LONGSHOT"
"19651112","US","SHFT","l20","37.03N","116.01W","SEPIA"
"19651121","CP","UNDG","23","49.860N","078.040E",""
"19651123","US","SHFT","l20","","","KERMET"
"19651201","FR","TUNN","10","24.044N","005.047E","TOURMALI"
"19651203","US","SHFT","20-200","37.13N","116.02W","CORDUROY"
"19651216","US","SHFT","l20","37.08N","116.03W","EMERSON"
"19651216","US","SHFT","20-200","37.02N","116.05W","BUFF"
"19651224","CP","UNDG","5.7","49.871N","078.135E",""
"19651225","US","SH?","","37.0N","116.3W","**"
"19660113","US","SHFT","l20","37.17N","116.02W","MAXWELL"
"19660118","US","SHFT","l20","","","SIENNA"
"19660118","US","SHFT","20-200","37.10N","116.05W","LAMPBLAC"
"19660121","US","SHFT","l20","37.03N","115.97W","DOVEKIE"
"19660122","US","SHFT","l20","","","REO"
"19660203","US","SHFT","l20","37.07N","116.10W","PLAID 2"
"19660213","CP","UNDG","81","49.840N","078.158E",""
"19660216","FR","TUNN","13","24.044N","005.041E","GRENAT"
"19660224","US","SHFT","19","37.17N","116.42W","REX"
"19660305","US","TUNN","l20","37.15N","116.11W","RED HOT"
"19660307","#CI","ON","","","120 NTS0",""
"19660307","US","SS1","l20","36.94N","116.13W","CINNAMON"
"19660307","#FI","T*","","","196 NTS0","L"
"19660307","US","SS2","l20","36.94N","116.13W","FINFOOT"
"19660312","US","SHFT","l20","37.08N","116.09W","CLYMER"
"19660318","US","SHFT","l20","36.90N","116.15W","PURPLE"
"19660320","CP","UNDG","61","49.720N","078.070E",""
"19660324","US","SHFT","l20","37.05N","116.16W","TEMPLAR"
"19660401","US","SHFT","l20","37.05N","115.88W","LIME"
"19660406","US","SHFT","l20","37.08N","116.08W","STUTZ"
"19660407","US","SHFT","l20","37.01N","115.59W","TOMATO"
"19660414","US","SHFT","70","37.20N","116.45W","DURYEA"
"19660421","CP","UNDG","11","49.808N","078.135E",""
"19660422","CP","UNDG","1.1","47.930N","047.690E",""
"19660423","US","SHFT","l20","","","FENTON"
"19660425","US","SHFT","l20","36.82N","115.96W","PINSTRPE"
"19660429","US","SHFT","l20","","","OCHRE"
"19660504","US","SHFT","l20","37.17N","115.96W","TRAVELR"
"19660505","US","SHFT","12","37.03N","116.02W","CYCLAMEN"
"19660506","US","SHFT","73","37.20N","116.19W","CHARTREU"
"19660507","CP","UNDG","3.6","49.774N","078.149E",""
"19660702","FR","ATMO","","20S","140W",""
"19660719","FR","ATMO","","20S","140W","TAMOURE"
"19660509","PC","AIRD","200","","",""
"19660512","US","SHFT","l20","37.08N","116.04W","TAPESTRY"
"19660513","US","SHFT","20-200","37.05N","116.02W","PIRANNA"
"19660519","US","SHFT","20-200","37.06N","116.03W","DUMONT"
"19660527","US","SHFT","22","37.10N","116.05W","DISCUSTH"
"19660602","US","TUNN","62","37.21N","116.00W","PILEDRIV"
"19660603","US","SHFT","20-200","37.03N","116.01W","TAN"
"19660610","US","SHFT","l20","36.98N","116.03W","PUCE"
"19660615","US","TUNN","l20","","","DOUBLEPL"
"19660615","US","SHFT","20-200","","","KANKAKEE"
"19660625","US","SHFT","25","37.10N","116.10W","VULCAN"
"19660629","CP","UNDG","23","49.847N","078.101E",""
"19660630","US","SHFT","365","37.32N","116.28W","HALFBEAK"
"19660702","FR","BARG","30","","","ALDEBAR"
"19660719","FR","AIRD","60","","","TAMOURE"
"19660721","CP","UNDG","11","49.738N","078.140E",""
"19660728","US","SHFT","l20","37.00N","115.89W","SAXON"
"19660805","CP","UNDG","14","49.830N","078.050E",""
"19660810","US","SHFT","l20","37.3N","116.0W","ROVENA"
"19660812","US","","l20","","","TANGERIN"
"19660819","CP","UNDG","7.3","50.500N","077.860E",""
"19660907","CP","UNDG","3.6","49.940N","077.920E",""
"19660911","FR","BALN","120","20S","140W","BETELGEU"
"19660912","US","SHFT","l20","36.84N","115.92W","DERRINGE"
"19660923","US","SHFT","l20","37.13N","116.02W","DAIQUIRI"
"19660924","FR","BARG","150","","","RIGEL"
"19660929","US","SHFT","l20","37.12N","115.98W","NEWARK"
"19660930","CP","UNDG","30","38.950N","064.540E",""
"19661004","FR","BARG","300","20S","140W","SIRIUS"
"19661015","US","SHFT","l20","","","KHAKI"
"19661019","CP","UNDG","23","49.770N","078.030E",""
"19661027","PC","ATMO","20+","","",""
"19661027","CP","UNDG","422","73.400N","054.570E",""
"19661105","US","SHFT","l20","37.17N","115.96W","SIMMS"
"19661111","US","SHFT","l20","37.10N","116.00W","AJAX"
"19661118","US","SHFT","l20","37.00N","116.07W","CERISE"
"19661122","US","SHFT","l20","","","VIGIL"
"19661203","US","SHFT",".380","","","STERLNG"
"19661203","CP","UNDG","3.6","49.720N","077.900E",""
"19661213","US","SHFT","l20","36.82N","115.96W","NEWPOINN"
"19661213","US","SHFT","l20","","","SIDECAR"
"19661218","CP","UNDG","38","49.922N","077.766E",""
"19661220","US","SHFT","870","37.32N","116.36W","GREELEY"
"19661228","PC","TOWR","300+","","",""
"19670118","US","SHFT","l20","","","RIVET I"
"19670119","US","SHFT","20-200","37.14N","116.18W","NASH"
"19670120","US","SHFT","20-200","37.08N","116.01W","BOURBON"
"19670126","US","SHFT","l20","","","RIVET II"
"19670130","CP","UNDG","3.6","49.900N","078.000E",""
"19670208","US","SHFT","l20","37.19N","116.02W","WARD"
"19670226","CP","UNDG","61","49.750N","078.125E",""
"19670302","US","SHFT","l20","37.09N","116.02W","RIVET 3"
"19670303","US","SHFT","l20","","","MUSHROOM"
"19670310","US","SHFT","l20","","","FIZZ"
"19670325","CP","UNDG","11","49.780N","078.060E",""
"19670404","US","SHFT","l20","","","OAKLAND"
"19670406","US","SHFT","l20","","","HEILMAN"
"19670407","US","SHFT","l20","37.054N","116.022W","FAWN"
"19670420","CP","UNDG","18","49.731N","078.148E",""
"19670421","US","SHFT","l20","37.017N","116.038W","CHOCOLAT"
"19670427","US","SHFT","l20","37.139N","116.064W","EFFENDI"
"19670510","US","SHFT","20-200","37.078N","116.995W","MICKEY"
"19670520","US","SHFT","250","37.130N","116.064W","COMMODOR"
"19670523","US","SHFT","155","37.275N","116.370W","SCOTCH"
"19670526","US","SHFT","l20","","","ABSINTHE"
"19670526","US","SHFT","76","37.248N","116.480W","KNICKERB"
"19670528","CP","UNDG","14","49.810N","078.110E",""
"19670603","CP","UNDG","1.5","50.000N","077.000E",""
"19670605","FR","BALN","l100","20S","140W","ALTAIR"
"19670617","PC","AIRD","3000","","",""
"19670622","US","","l20","37.126N","116.029W","SWITCH"
"19670626","US","TUNN","l20","37.202N","116.208W","MIDI m"
"19670627","FR","BALN","l100","20S","140W","ANTARES"
"19670629","US","SHFT","l20","37.029N","116.023W","UMBER"
"19670629","CP","UNDG","11","49.870N","078.100E",""
"19670702","FR","BALN","l100","20N","140W","ARCTURUS"
"19670707","FR","ATMO","","20N","140W",""
"19670714","US","SHFT","l20","","","VITO"
"19670715","CP","UNDG","14","49.880N","078.160E",""
"19670727","US","SHFT","20-200","37.149N","116.049W","STANLEY"
"19670804","CP","UNDG","11","49.820N","078.050E",""
"19670804","US","SHFT","l20","","","GIBSON"
"19670810","US","SHFT","l20","37.157N","116.047W","WASHER"
"19670818","US","SHFT","l20","37.012N","116.036W","BORDEAUX"
"19670824","US","SHFT","l20","","","LEXINGTO"
"19670831","US","TUNN","l20","37.178N","116.209W","DOOR m"
"19670907","US","SHFT","20-200","37.153N","116.053W","YARD"
"19670915","US","SHFT","l20","","","GILROY"
"19670916","CP","UNDG","11","49.953N","077.756E",""
"19670921","US","SHFT","2.2","37.166N","116.038W","MARVEL"
"19670922","CP","UNDG","9.2","49.972N","077.726E",""
"19670927","US","SHFT","20-200","37.099N","116.053W","ZAZA"
"19671006","CP","UNDG","5.2","57.710N","065.220E",""
"19671017","CP","UNDG","23","49.800N","078.030E",""
"19671018","US","SHFT","20-200","37.116N","116.058W","LANPHER"
"19671021","CP","UNDG","93","73.400N","054.420E",""
"19671025","US","SHFT","l20","","","COGNAC"
"19671025","US","SHFT","l20","","","WORTH"
"19671025","US","SHFT","l20","37.032N","116.026W","SAZERAC"
"19671030","CP","UNDG","11","49.810N","078.020E",""
"19671108","US","SHFT","l20","37.092N","116.036W","COBBLER"
"19671122","CP","UNDG","3.6","49.980N","077.777E",""
"19671206","US","SHFT","l20","","","POLKA"
"19671208","CP","UNDG","14","49.880N","078.210E",""
"19671210","US","SHFT","29","36.678N","107.208W","GASBUGGY"
"19671215","US","SHFT","l20","37.367N","116.002W","STILT"
"19671224","PC","AIRD","15-25","","",""
"19680118","CP","UNDG","7.3","49.740N","078.020E",""
"19680118","US","SHFT","7.4","37.146N","116.066W","HUPMOBIL"
"19680119","US","SHFT","20-200","37.156N","116.054W","STACCATO"
"19680119","US","SHFT","0-1000","38.634N","116.215W","FAULTLES"
"19680124","US","SHFT","l20","","","BRUSH"
"19680126","US","CRAT","2.3","37.281N","116.514W","CABRIOLE"
"19680131","US","SHFT","l20","","","MALLET"
"19680221","US","SHFT","l20","","","TORCH"
"19680221","US","SHFT","20-200","37.117N","116.054W","KNOX"
"19680229","US","TUNN","l20","37.018N","116.021W","DORSLFIN"
"19680305","US","SHFT","l20","","","RUSSET"
"19680312","BU","A","","","50 NTS30",""
"19680312","US","CRAT","1.08","37.008N","116.037W","BUGGY-A"
"19680312","BU","B","","","50 NTS30",""
"19680312","US","CRAT","1.08","37.008N","116.037W","BUGGY-B"
"19680312","BU","C","","","50 NTS30",""
"19680312","US","CRAT","1.08","37.008N","116.037W","BUGGY-C"
"19680312","BU","D","","","50 NTS30",""
"19680312","US","CRAT","1.08","37.008N","116.037W","BUGGY-D"
"19680312","BU","E","","","50 NTS30",""
"19680312","US","CRAT","1.08","37.008N","116.037W","BUGGY-E"
"19680314","US","SHFT","1.5","","","POMMARD"
"19680322","US","SHFT","20-200","37.333N","116.311W","STINGER"
"19680325","US","SHFT","l20","36.872N","115.931W","MILKSHKE"
"19680404","US","SHFT","l20","","","BEVEL"
"19680410","TH","","","","231 NTS0",""
"19680410","US","SS1","l20","37.154N","116.079W","THROW"
"19680410","#NO","","","","382 NTS0",""
"19680410","US","SS2","20-200","37.154N","116.079W","NOOR"
"19680418","US","SHFT","20-200","37.153N","116.037W","SHUFFLE"
"19680423","US","SHFT","l20","37.338N","116.376W","SCROLL"
"19680424","CP","UNDG","5.7","49.840N","078.070E",""
"19680426","US","SHFT","1300","37.295N","116.456W","BOXCAR"
"19680503","US","SHFT","l20","","","HATCHET"
"19680508","US","SHFT","l20","","","CROCK"
"19680517","US","SHFT","20-200","37.120N","116.059W","CLRKSMOB"
"19680521","CP","UNDG","47","38.890N","065.100E",""
"19680528","US","SHFT","l20","","","ADZE"
"19680605","US","SHFT","l20","","","WEMBLEY"
"19680606","TU","","","","189 NTS1",""
"19680606","US","SS1","l20","37.167N","116.045W","TUB-A"
"19680606","TU","","","","189 NTS1",""
"19680606","US","SS2","l20","37.167N","116.045W","TUB-B"
"19680606","TU","","","","189 NTS1",""
"19680606","US","SS3","l20","37.167N","116.045W","TUB-C"
"19680606","TU","","","","189 NTS1",""
"19680606","US","SS4","l20","37.167N","116.045W","TUB-F"
"19680606","TU","","","","273 NTS1",""
"19680606","US","SS5","l20","37.167N","116.045W","TUB-D"
"19680611","CP","UNDG","9.2","49.800N","078.130E",""
"19680615","US","SHFT","20-200","37.265N","116.315W","RICKEY"
"19680619","CP","UNDG","13","49.982N","079.003E",""
"19680625","US","SHFT","l20","","","FUNNEL"
"19680625","US","SHFT","l20","","","SEVILLA"
"19680628","US","SHFT","20-200","37.246N","116.483W","CHATEAUG"
"19680701","CP","UNDG","25","47.850N","047.720E",""
"19680707","FR","BALN","l100","20S","140W","ALTAIR"
"19680712","CP","UNDG","11","49.766N","078.139E",""
"19680715","FR","BALN","50-500","20S","140W","CASTOR"
"19680717","US","SHFT","l20","","","SPUD"
"19680730","US","SHFT","20-200","37.162N","116.078W","TANYA"
"19680803","FR","BALN","500","","","POLLUX"
"19680809","US","SHFT","l20","","","IMP"
"19680815","US","SHFT","l20","","","RACK"
"19680820","CP","UNDG","3.6","49.820N","078.078E",""
"19680824","FR","BALN","2600","22.18S","139.08W","CANOPUS"
"19680827","US","SHFT","l20","36.877N","115.931W","DIANAMN"
"19680829","US","SHFT","20-200","37.250N","116.347W","SLED"
"19680905","CP","UNDG","14","49.750N","078.150E",""
"19680906","US","SHFT","20-200","37.032N","116.012W","KNIFEA"
"19680906","US","SHFT","20-200","37.136N","116.047W","NOGGIN"
"19680908","FR","BALN","1200","21.83","139.05","PROCYON"
"19680917","US","SHFT","20-200","37.205N","116.206W","STODDRD"
"19680924","US","TUNN","l20","37.205N","116.206W","HUDSONSE"
"19680929","CP","UNDG","38","49.813N","078.175E",""
"19681003","US","","l20","","","WELDER"
"19681003","US","SHFT","l20","37.026N","115.993W","KNIFE C"
"19681010","US","SHFT","l20","","","VAT"
"19681029","US","SHFT","l20","","","HULA"
"19681031","US","SHFT","l20","","","FILE"
"19681031","US","SHFT","l20","","","BIT"
"19681031","BI","","","","118 NTS0",""
"19681031","US","SS1","l20","","","BIT-B"
"19681031","BI","","","","148 NTS0",""
"19681031","US","SS1","l20","","","BIT-A"
"19681104","US","SHFT","20-200","37.131N","116.086W","CREW"
"19681104","CR","ND","","","360 NTS0",""
"19681104","US","SS1","l20","","","CREW2ND"
"19681104","CR","D","","","360 NTS0",""
"19681104","US","SS1","l20","","","CREW3RD"
"19681107","CP","UNDG","119","73.390N","054.580E",""
"19681109","CP","UNDG","4.5","49.760N","078.060E",""
"19681115","US","SHFT","l20","","","AUGER"
"19681115","US","SHFT","l20","37.026N","116.033W","KNIFE B"
"19681120","US","TUNN","l20","37.010N","116.206W","MINGVASE"
"19681122","US","SHFT","l20","37.140N","116.042W","TINDERBO"
"19681208","US","CRAT","30","37.343N","116.566W","SCHOONER"
"19681212","TY","","","","198 NTS0",""
"19681212","US","SS1","l20","37.119N","116.082W","TYG-A"
"19681212","TY","","","","207 NTS0",""
"19681212","US","SS2","l20","37.119N","116.082W","TYG-B"
"19681212","TY","","","","228 NTS0",""
"19681212","US","SS3","l20","37.119N","116.082W","TYG-C"
"19681212","TY","","","","228 NTS0",""
"19681212","US","SS4","l20","37.119N","116.082W","TYG-D"
"19681212","TY","","","","251 NTS0",""
"19681212","US","SS5","l20","37.119N","116.082W","TYG-E"
"19681212","TY","","","","265 NTS0",""
"19681212","US","SS6","l20","37.119N","116.082W","TYG-F"
"19681212","US","SHFT","l20","","","BAY LEAF"
"19681212","US","SHFT","l20","","","SCISSORS"
"19681218","CP","UNDG","5.7","49.720N","078.120E",""
"19681219","US","SHFT","1150","37.231N","116.474W","BENHAM"
"19681227","PC","AIRD","3000","","",""
"19690115","US","SHFT","10.0","37.148N","166.066W","PACKARD"
"19690115","US","SHFT","20-200","37.209N","116.225W","WINESKIN"
"19690122","US","SHFT","l20","","","SHAVE"
"19690130","US","SHFT","l20","","","BIGGIN"
"19690130","US","SHFT","20-200","37.053N","116.029W","VISE"
"19690204","US","SHFT","l20","","","NIPPER"
"19690204","US","SHFT","l20","","","WINCH"
"19690212","US","TUNN","l20","37.169N","116.211W","CYPRESS"
"19690307","CP","UNDG","23","49.840N","078.150E",""
"19690318","US","SHFT","l20","","","VALISE"
"19690318","US","SHFT","l20","","","CHATTY"
"19690320","US","SHFT","l20","37.022N","116.030W","BARSAC"
"19690321","US","SHFT","l100","37.080N","116.087W","COFFER"
"19690424","US","SHFT","l20","","","GOURD"
"19690424","GO","AMBER","","","181 NTS0",""
"19690424","US","SS1","l20","37.002N","116.000W","GOURD-AM"
"19690424","GO","BROWN","","","227 NTS0",""
"19690424","US","SS2","l20","37.002N","116.000W","GOURD-BR"
"19690430","US","SHFT","20-200","36.081N","116.013W","THISTLE"
"19690430","US","SHFT","20-200","36.081N","116.013W","BLENTON"
"19690507","US","SHFT","20-200","37.238N","116.500W","PURSE"
"19690515","US","SHFT","l20","","","ALIMENT"
"19690516","CP","UNDG","9.2","49.780N","078.160E",""
"19690527","US","SHFT","l20","","","IPECAC"
"19690527","IP","-A","","","124 NTS0",""
"19690527","US","SS1","l20","","","IPECAC-A"
"19690527","IP","-B","","","124 NTS0",""
"19690527","US","SS2","l20","","","IPECAC-B"
"19690527","US","SHFT","20-200","37.076N","115.995W","TORRIDO"
"19690531","CP","UNDG","11","49.967N","077.728E",""
"19690612","US","SHFT","l20","37.053N","116.030W","TAPPER"
"19690626","US","SHFT","l20","","","BOWL"
"19690626","BO","","","","198 NTS0",""
"19690626","US","SS1","l20","","","BOWL-1"
"19690626","BO","","","","198 NTS0",""
"19690626","US","SS2","l20","","","BOWL-2"
"19690704","CP","UNDG","9.2","49.760N","078.200E",""
"19690716","US","SHFT","20-200","37.119N","116.055W","ILDRIM"
"19690716","US","SHFT","20-200","37.139N","116.088W","HUTCH"
"19690723","CP","UNDG","14","49.817N","078.170E",""
"19680814","SP","-A","","","207 NTS0",""
"19690814","US","SS1","l20","","","SPIDER-A"
"19690814","SP","-B","","","229 NTS0",""
"19690814","US","SS2","l20","","","SPIDER-B"
"19690827","US","SHFT","l20","37.021N","116.038W","PLIERS"
"19690827","US","SHFT","l20","","","HOREHOUN"
"19690902","CP","UNDG","8","57.500N","054.700E",""
"19690908","CP","UNDG","8","57.300N","056.000E",""
"19690910","US","SHFT","40","","","RULISON"
"19690911","CP","UNDG","5.7","49.770N","078.030E",""
"19690912","US","SHFT","l20","36.877N","115.929W","MINUTEST"
"19690916","US","SHFT","l1000","37.314N","116.461W","JORUM"
"19690920","US","SHFT","l20","","","KYACK"
"19690920","KY","A","","","186 NTS0",""
"19690920","US","SS1","l20","","","KYACK-A"
"19690920","KY","B","","","192 NTS0",""
"19690920","US","SS2","l20","","","KYACK-B"
"19690922","PC","TUNN","25","41.383N","088.300E",""
"19690926","CP","UNDG","5.7","46.000N","042.400E",""
"19690929","PC","AIRD","3000","","",""
"19691001","CP","UNDG","9.2","49.810N","078.180E",""
"19691001","US","SHFT","l20","","","SEAWEED"
"19691001","US","SHFT","l20","","","SEAWEED-"
"19691001","SE","D-D","","","118 NTS0",""
"19691001","US","SS1","l20","","","SEAWEED-"
"19691001","SE","D-C","","","119 NTS0",""
"19691001","US","SS2","l20","","","SEAWEED-"
"19691001","SE","D-E","","","125 NTS0",""
"19691001","US","SS3","l20","","","SEAWEED-"
"19691002","US","SHFT","1000","","","MILROW"
"19691008","US","SHFT","0-1000","37.257N","116.441W","PIPKIN"
"19691014","CP","UNDG","140","73.390N","054.500E",""
"19691020","CP","UNDG",".09","48.100N","047.800E",""
"19691028","US","SH?","","37.003N","116.004W","**"
"19691029","US","SHFT","11","37.121N","116.128W","CRUET"
"19691029","PO","","","","171 NTS0",""
"19691029","US","SS1","l20","37.141N","116.142W","POD-B"
"19691029","PO","","","","248 NTS0",""
"19691029","US","SS2","l20","37.141N","116.142W","POD-A"
"19691029","PO","","","","267 NTS0",""
"19691029","US","SS3","l20","37.141N","116.142W","POD-D"
"19691029","PO","","","","312 NTS0",""
"19691029","US","SS4","l20","37.141N","116.142W","POD-C"
"19691029","US","SHFT","110","37.143N","116.063W","CALABASH"
"19691113","US","SHFT","l20","37.17N","116.09W","SCUTTLE"
"19691121","US","SHFT","l20","","","PLANER"
"19691121","US","SHFT","20-200","37.031N","116.002W","PICCALIL"
"19691130","CP","UNDG","54","49.913N","078.961E",""
"19691205","US","TUNN","l20","37.180N","116.211W","DIESLTRA"
"19691206","CP","UNDG","70","43.790N","054.750E",""
"19691210","US","SHFT","l20","","","CULANTRO"
"19691210","CU","RO-A","","","134 NTS0",""
"19691210","US","SS1","l20","","","CULANTRO"
"19691210","CU","RO-B","","","149 NTS0",""
"19691210","US","SS2","l20","","","CULANTRO"
"19691210","US","SHFT","l20","","","TUN"
"19691210","TU","","","","194 NTS1",""
"19691210","US","SS1","l20","","","TUN-B"
"19691210","TU","","","","194 NTS1",""
"19691210","US","SS2","l20","","","TUN-C"
"19691210","TU","","","","200 NTS1",""
"19691210","US","SS3","l20","","","TUN-A"
"19691210","TU","","","","256 NTS1",""
"19691210","US","SS4","l20","","","TUN-D"
"19691217","US","SHFT","20-200","37.084N","116.002W","GRAPE A"
"19691217","US","SHFT","l20","","","LOVAGE"
"19691218","TE","E-YEL","","","419 NTS0",""
"19691218","US","SS1","20-200","37.121N","116.035W","TERRINE-"
"19691218","TE","E-WHI","","","462 NTS0",""
"19691218","US","SS2","20-200","37.121N","116.035W","TERRINE-"
"19691228","CP","UNDG","30","49.954N","077.748E",""
"19691229","CP","UNDG","7.3","49.790N","078.000E",""
"19701223","FO","UE","","","101 NTS0",""
"19700123","US","SS1","l20","37.137N","116.037W","FOB-BLUE"
"19700123","FO","D","","","245 NTS0",""
"19700123","US","SS2","l20","37.137N","116.037W","FOB-RED"
"19700123","FO","EEN","","","267 NTS0",""
"19700123","US","SS3","l20","37.137N","116.037W","FOB-GREE"
"19700129","CP","UNDG","18","49.813N","078.185E",""
"19700130","US","SHFT","l20","","","AJO"
"19700204","US","SHFT","l20","","","BELEN"
"19700204","US","SHFT","20-200","37.098N","116.027W","GRAPE B"
"19700205","US","SHFT","25","37.164N","116.039W","LABIS"
"19700211","US","TUNN","l20","37.201N","116.205W","DIANA m"
"19700225","US","SHFT","20-200","37.037N","116.000W","CUMARIN"
"19700226","YA","AN-BL","","","351 NTS0",""
"19700226","US","SS1","20-200","37.116N","116.061W","YANNIGAN"
"19700226","YA","AN-WH","","","381 NTS0",""
"19700226","US","SS2","20-200","37.116N","116.061W","YANNIGAN"
"19700226","YA","AN-RE","","","389 NTS0",""
"19700226","US","SS3","20-200","37.116N","116.061W","YANNIGAN"
"19700306","US","SHFT","8.7","37.023N","116.092W","CYATHUS"
"19700306","AR","-BLUE","","","101 NTS0",""
"19700306","US","SS1","l20","37.140N","116.037W","ARABIS-B"
"19700306","AR","-RED","","","250 NTS0",""
"19700306","US","SS2","l20","37.140N","116.037W","ARABIS-R"
"19700306","AR","-GREE","","","250 NTS0",""
"19700306","US","SS3","l20","37.140N","116.037W","ARABIS-G"
"19700319","US","SHFT","l20","37.001N","116.023W","JAL"
"19700323","US","SHFT","20-200","37.086N","116.021W","SHAPER"
"19700326","US","SHFT","1900","37.300N","116.534W","HANDLEY"
"19700327","CP","UNDG","5.7","49.770N","078.110E",""
"19700421","US","SHFT","l20","37.055N","115.988W","SNUBBER"
"19700421","CA","EEN","","","274 NTS0",""
"19700421","US","SS1","l20","37.099N","116.080W","CAN-GREE"
"19700421","CA","D","","","399 NTS0",""
"19700421","US","","20-200","37.099N","116.080W","CAN-RED"
"19700501","HO","RED)","","","241 NTS0",""
"19700501","US","SHFT","l20","37.059N","116.028W","BEEBALM"
"19700501","US","SS1","l20","37.133N","116.034W","HOD-B(RE"
"19700501","HO","GREEN","","","265 NTS0",""
"19700501","US","SS2","l20","37.133N","116.034W","HOD-A(GR"
"19700505","US","TUNN","l20","37.211N","116.184W","MINTLEAF"
"19700512","US","TUNN","l20","37.010N","116.202W","d DUST"
"19700515","CO","E-YEL","","","390 NTS1",""
"19700515","US","SS1","20-200","37.162N","116.039W","CORNICE-"
"19700515","CO","E-GRE","","","444 NTS1",""
